 GET / 304 34.122 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /vendors/wow/wow.js 304 1.300 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /about 200 14.446 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /css/styles.css 304 1.086 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /vendors/animate/animate.css 304 3.233 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /css/main.css 304 3.599 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /vendors/css/ch5m3d.css 304 7.896 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /vendors/js/ch5m3d.js 304 1.106 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /img/image.png 304 5.940 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /img/description.png 304 6.157 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /js/scripts.js 304 2.334 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /js/main.js 304 2.222 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /vendors/wow/wow.js 304 2.462 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /vendors/js/bootstrap.bundle.js 304 2.460 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:05 GMT
 GET /mission 200 9.238 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /css/styles.css 304 2.929 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /css/main.css 304 2.886 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /vendors/animate/animate.css 304 9.336 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /vendors/css/ch5m3d.css 304 9.970 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /vendors/js/ch5m3d.js 304 1.073 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /img/description.png 304 2.445 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /img/image.png 304 2.702 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /js/scripts.js 304 3.480 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /js/main.js 304 14.191 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /vendors/js/bootstrap.bundle.js 304 14.656 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /img/aennews.jpg 200 12.974 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /vendors/wow/wow.js 304 1.044 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:07 GMT
 GET /contact 200 8.788 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /css/styles.css 304 0.975 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /css/main.css 304 0.872 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /vendors/animate/animate.css 304 0.830 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /vendors/css/ch5m3d.css 304 0.976 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /vendors/js/ch5m3d.js 304 3.834 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /img/image.png 304 1.805 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /img/description.png 304 1.988 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /img/aennews.jpg 304 2.148 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /js/scripts.js 304 2.249 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /js/main.js 304 1.041 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /vendors/js/bootstrap.bundle.js 304 9.834 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /vendors/wow/wow.js 304 9.963 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:08 GMT
 GET /material/ensino 304 25.548 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /css/styles.css 304 1.303 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /css/main.css 304 1.018 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /vendors/css/ch5m3d.css 304 2.756 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /vendors/js/ch5m3d.js 304 3.695 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /vendors/animate/animate.css 304 1.194 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /img/image.png 304 11.307 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /img/description.png 304 15.530 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /js/scripts.js 304 8.683 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /js/main.js 304 8.674 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /vendors/js/bootstrap.bundle.js 304 15.205 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /vendors/wow/wow.js 304 15.319 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:19 GMT
 GET /material 304 10.063 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /css/styles.css 304 0.859 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /css/main.css 304 0.704 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /vendors/animate/animate.css 304 0.745 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /img/image.png 304 1.579 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /img/description.png 304 0.759 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /js/scripts.js 304 1.665 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /js/main.js 304 1.047 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /vendors/js/ch5m3d.js 304 1.090 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /vendors/js/bootstrap.bundle.js 304 9.198 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /vendors/wow/wow.js 304 3.067 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /vendors/css/ch5m3d.css 304 0.770 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:26 GMT
 GET /material/pesquisa 200 22.231 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /css/styles.css 304 2.076 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /css/main.css 304 2.004 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /vendors/animate/animate.css 304 1.815 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /vendors/css/ch5m3d.css 304 1.951 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /img/image.png 304 0.982 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /vendors/js/ch5m3d.js 304 1.076 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /img/description.png 304 0.738 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /js/scripts.js 304 1.883 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /js/main.js 304 1.935 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /vendors/js/bootstrap.bundle.js 304 2.057 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /vendors/wow/wow.js 304 2.321 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /img/particles.png 200 2.683 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:28 GMT
 GET /contact 304 13.631 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /css/styles.css 304 1.796 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /css/main.css 304 1.868 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /vendors/js/ch5m3d.js 304 0.757 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /vendors/animate/animate.css 304 1.048 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /vendors/css/ch5m3d.css 304 3.638 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /img/image.png 304 11.460 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /img/description.png 304 11.821 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /img/aennews.jpg 304 1.640 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /js/scripts.js 304 1.664 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /js/main.js 304 3.316 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /vendors/js/bootstrap.bundle.js 304 3.790 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET /vendors/wow/wow.js 304 4.123 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:35 GMT
 GET / 304 8.081 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:32:08 GMT
 GET /css/styles.css 304 3.331 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:32:08 GMT
 GET /css/main.css 304 2.566 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:32:08 GMT
 GET /vendors/css/ch5m3d.css 304 2.012 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:32:08 GMT
 GET /vendors/js/ch5m3d.js 304 2.024 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:32:08 GMT
 GET /vendors/animate/animate.css 304 0.801 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:32:08 GMT
